,Unnamed: 0,Tour_Name,Tour_Type,Number_of_Reviewer,Duration,Price,Highlight,Location,Rating
962,962,1023. Traditional Khmer Menu Cooking Class Plus Market Tour ( Group Class ),Cooking Classes,1.0,4 hours,32,"Bottled water, Private transportation, Cool Towel, Cooking Hat and Apron, Cook Certificate, Recipe","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
945,945,1006. City tour Kompong Pluk Sunset Floating Village From Siem Reap,Full-day Tours,1.0,6+ hours,51.29,"English speaking tour guide, Car with air conditioner, Cold water and Cold towels, Cold Beers and fried peanuts, Bottled water, Alcoholic Beverages","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
462,462,523. Angkor Wat Tour Plus Balloon Sunset,6+ hours,,6+ hours,79,"English Speaking Guide, Tethered Helium balloon ride for 15 minutes (joining others), Hotel pick up and drop off, Private Car/Minivan with cold bottled water during tours","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2761,2761,Private Overland Taxi Phnom Penh - Border Prek Chak With Hatien,Private-Drivers,, 4 to 5 hours (approx.),$71.00 ,"Private safe, friendly drivers, Gasoline, Toll, Tax, Park, Passenger insurance included","Phnom Penh, Cambodia",
328,328,389. Half Day - Mekong Silk Island Cruise & Tour with Free flow drinks and fruits,Full-day Tours,,4 hours,35,"Hotel pick up, Unlimited beer and soft drinks, Fresh fruits platter, Entrance fee, English speaking guide, Round trips Tuk Tuk around the island","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
1487,1487,1548. 4-day Phnom Penh Siem Reap Angkor Complex,Bus Tours,,3+ days,475.9,"Lunch, Accommodation in Double/Twin shared with daily breakfast, Breakfast, Dinner, Dinner, Breakfast, Breakfast, Boat trip in Tonle Sap, English-speaking tour guide (other languages available upon request), Entrance fees as mentioned in the program, Water during transfer, Air-conditioned vehicle, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - National Museum, Entry/Admission - Wat Phnom, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Angkor Wat, Entry/Admission - Ta Prohm","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2132,2132,2193.  Siem Reap Private Street Food Evening Tour,Tuk Tuk Tours,,3 hours,46,"Local- English speaking guide, Transportation via moto-remork, Khmer snacks and dinner, Bottle of water or fruit shake or beer, Entry/Admission - King's Road Angkor, Entry/Admission - Psar Chaa - Old Market","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
367,367,428. Half-Day Phnom Penh City Tour,Bus Tours,,4 hours,49.35,"Air-conditioned vehicle, English speaking guide, Refreshment drink & cold towel","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
3284,3284,Private Tour Angkor Wat small tour with English Speaking Guide Full Day,Day-Trips,3.0, 6 to 8 hours (approx.),$57.70 ,"English Speaking Guide, Air-con Vehicle (Van or Bus), Mineral Water​ during tour, Pickup and drop off from hotel client stay","Siem Reap, Cambodia",star-5
2854,2854,Private Banteay Srei and 4 Temples Guided Tour,Full-day-Tours,9.0, 8 hours (approx.),$48.23 ,"Hotel pickup and drop-off, Private transport by air-conditioned vehicle, 8 hour tour of Banteay Srei and 4 temples, Professional English-speaking guide, Cold towels, Bottled water","Siem Reap, Cambodia",star-5
2063,2063,2124.  1-Day Wonder Angkor Wat Small Circuit Tour with Sunset,Bus Tours,,6–7 hours,35,"English Speaking Guide with licensed, One Way Airport Pick up, please send us of your arrival time & Flight Number, Start pick up at your hotel and finish drop you at hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1563,1563,1624. 8-Day Cambodia Trip to Angkor Heritage and Colonial Towns,Bus Tours,,3+ days,"1,879.00","Dinner, Lunch, Breakfast, Lunch, Breakfast, Breakfast, Breakfast, Breakfast, Lunch, Lunch, Breakfast, Breakfast, Lunch, Hotel accommodation based on twin-sharing room, Private driver and air-conditiopned vehicle, English-speaking tour guide, Economy class airfare of Phnom Penh - Phnom Penh., Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom, Entry/Admission - Ta Prohm Temple, Entry/Admission - Phnom Bakheng, Entry/Admission - Apsara Dance, Entry/Admission - Bakong, Entry/Admission - Banteay Srei, Entry/Admission - Preah Khan, Entry/Admission - Tonle Sap Lake, Entry/Admission - Royal Palace, Entry/Admission - National Museum of Cambodia, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Angkor Borei Museum","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
772,772,833. 3 Day Discovery of Angkor Wat & Kulen National Park,Adventure Tours,2.0,3 days,350,"English Speaking Guide 1days, Private vehicle by air-conditioned vehicle, Free cool & cool towels during touring, All local applicable taxes","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2401,2401,2462. Full Day Angkor Wat with Sunset by Tuk Tuk,Full-day Tours,,6+ hours,38,"Licensed and Experienced English Speaking Tour Guide, Travel by tuk-tuk (motorised trolley), Mineral Water, Hotel pickup and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3381,3381,1day- Vip Tour +lady Temple,Extreme Sports,, 8 to 10 hours (approx.),,"Air-conditioned vehicle, All Fees and Taxes, English speaking tour guide, Bottled water, Cold towel","Krong Siem Reap, Cambodia",
2971,2971,One day Angkor temple tour with private driver,Full-day-Tours,26.0, 8 hours (approx.),,"Bottled water, Private tour, Air conditioned vehicle, English speaking driver","Siem Reap, Cambodia",star-5
498,498,559. Explore Siem Reap 2 Days Private Tours,Bus Tours,20.0,2 days,35,"Experiences English Speaking License Tour Guide, Pick up & Drop off at your hotel ( please provide us your hotel and your hotel address ), All transfer with comfortable A/C vehicle as mentioned in itinerary, Drink water and cool fresh tower for the whole trips, Services charge and current government VAT tax, Entry/Admission - Tonle Sap Lake, Entry/Admission - Kampong Phluk Floating Village, Entry/Admission - Wat Preah Prom Rath, Entry/Admission - Artisans Angkor, Entry/Admission - West Baray","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
1361,1361,1422. Special Angkor Wat Sunset Private Tour,Full-day Tours,,6+ hours,173.34,"Professional English speaking tour guide, A/C Lexus,Van and bus with Licensed driver, Cool pure drinking water and towels., Gratuities is recommended, pick up and drop off, Entry/Admission - Angkor Friendly Tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
435,435,496. Discover Tonle Sap Floating Village Tour,Tuk Tuk Tours,,3 hours,44.11,"Bottled water, All Fees and Taxes, Remork (Tuk Tuk) for tour and return transfer from/to your hotel, English speaking guide, Entry/Admission - Chong Kneas Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
365,365,426. Full-Day Phnom Penh Tuk Tuk City Tours,7–8 hours,,7–8 hours,84.11,"Hotel pick up & drop off, English speaking tour guide, Private Transportation ( Tuk Tuk ), Cold bottle mineral waters during your trip, All entrance fees, Entry/Admission - Royal Palace, Entry/Admission - Silver Pagoda, Entry/Admission - Wat Phnom, Entry/Admission - Choeung Ek Genocidal Center, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Central Market","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets",
2316,2316,2377. Khmer Cooking Class at Champey,Bus Tours,,4–5 hours,57.44,"Transfer from hotel - cooking class – hotel, 3 hours of cooking fun (you pick either morning or evening), Lunch (own cooked)","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
276,276,337. Angkor Wat Highilights and Tonle Sap Lake Private Tour,Bus Tours,10.0,2 days,79,"Experienced English speaking tour guide, Local village walk and interact with local people, Hotel pickup and drop-off, Private air-con transport, Bottled water, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2498,2498,Khmer Cooking Class Half Day (AM or PM),Cooking-Classes,77.0, 4 hours (approx.),$35.90 ,Instructor,"Phnom Penh, Cambodia",star-5
2111,2111,2172. Full Day Angkor Wat with Sunset by Tuk Tuk,Full-day Tours,,6+ hours,40,"Licensed and Experienced English Speaking Tour Guide, Travel by tuk-tuk (motorised trolley), Mineral Water, Hotel pickup and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
2345,2345,2406. 2 Days Private Tour to Kulen Mountain Jungle Trekking Adventure,Adventure Tours,,2 days,250,"Lunch, Lunch, Breakfast, Dinner, Your guide and team will prepare a delicious BBQ around the campfire this evening., A basic but nourishing cooked breakfast, Bottled water, A local Style lunch of rice with grilled pork or chicken (vegetarian/vegan options available), All Fees and Taxes, Air-conditioned vehicle, Tent and basic bedding, Entry/Admission - Phnom Kulen National Park, Entry/Admission - Phnom Kulen Waterfall","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
407,407,468. Private Tour: Siem Reap City Tour Full Day,Bus Tours,,6+ hours,128.21,"Hotel pickup and drop-off at Siem Reap City area, Transport by air-conditioned private car, English speaking local guide at the time of sightseeing, Entry/Admission - Siem Reap, Entry/Admission - Angkor Silk Farm, Entry/Admission - Artisans Angkor, Entry/Admission - Cambodian Cultural Village, Entry/Admission - War Museum Cambodia, Entry/Admission - Wat Thmey (Killing Fields), Entry/Admission - Psar Chaa - Old Market, Entry/Admission - Wat Bo Temple","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
3584,3584,Discover Angkor Wat Complex and Cambodia's Villages - 2 Days,Overnight-Tours,31.0, 2 days  (approx.),,"Air-conditioned SUV Car or Air-conditioned Mini Van, English Speaking Tour Guide, Cold drinking water and cold Towels","Siem Reap, Cambodia",star-5
3654,3654,Angkor Full Day Private Tour with 2 Extra,Day-Trips,, 8 hours (approx.),$69.00 ,"Private transportation, English speaking tour guide, Bottled water","Siem Reap, Cambodia",
844,844,905.  Private Half-Day Tour of Angkor Wat and Phnom Bakheng Sunset,Bus Tours,2.0,5–6 hours,110.4,"Bottled water, Professional Transport, Experienced Tour Guide, Cold Water & Towel, Entry/Admission - Angkor Wat","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",5
2155,2155,2216. 3-Day Angkor Adventure Tour,Bus Tours,,3 days,167.18,"Air-conditioned vehicle, Drinking water, English Speaking Guide with licensed","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1849,1849,1910. ATV Grand Sunset Private Tour - Free Hotel Pickup/Drop Off,Adventure Tours,,2 hours,62,"Bottle of water and fresh towel after the tour, Driver/Instructor, Hotel pickup and drop-off ( in the city of Siem Reap only), Helmet, Face mask and Rain coat ( in case of rain), Private tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1965,1965,2026. Kampong Khleang - Floating Village on Tonle Sap Lake,Bus Tours,,4 hours,82.06,"Private transportation, Private English Speaking Guide, Entrance fee to all destinations in program, Boat fee, Cold water during program & transfer, Entry/Admission - Tonle Sap Lake, Entry/Admission - Kompong Khleang","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1876,1876,1937. Private Transfer From Siem Reap - Pattaya Beach Chon Buri With Relaible Driver,8–9 minutes,,8–9 minutes,138.4,"Private friendly driver, Air-conditioned vehicle Car /Mini-van, Gasoine, Tool, Parking fee","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
1833,1833,1894. Private Cambodian Cooking Class with a Professional Chef in Siem Reap,Cooking Classes,,3 hours,71.8,"Private cooking lesson and home cooked meal with your host Seav, Hotel pickup and drop-off (from your central Siem Reap hotel), All taxes, fees and handling charges, Gratuities","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets",
